key,page,page_link,english,translation,context,source_locations
fire-iq-tools-live-viewer.pod.2.co2.e7bc465e,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 CO2,,span text,fire-iq/tools/live-viewer/index.html:134
fire-iq-tools-live-viewer.pod.2.debug.values.f0ce3fc6,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 debug values,,span text,fire-iq/tools/live-viewer/index.html:101
fire-iq-tools-live-viewer.pod.2.label.a24c7152,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 label,,input[aria-label]; input[placeholder],fire-iq/tools/live-viewer/index.html:36
fire-iq-tools-live-viewer.pod.2.last.plot.time.e35b957d,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 last plot time,,span text,fire-iq/tools/live-viewer/index.html:84
fire-iq-tools-live-viewer.pod.2.latest.row.8eaf6be2,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 latest row,,span text,fire-iq/tools/live-viewer/index.html:93
fire-iq-tools-live-viewer.pod.2.pm2.5.96fd083b,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 PM2.5,,span text,fire-iq/tools/live-viewer/index.html:138
fire-iq-tools-live-viewer.pod.2.rows.e5e55629,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,POD 2 rows,,span text,fire-iq/tools/live-viewer/index.html:80
fire-iq-tools-live-viewer.reset.44c57abd,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Reset,,button text,fire-iq/tools/live-viewer/index.html:42
fire-iq-tools-live-viewer.serial.read.error.137eea52,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Serial read error,,JavaScript UI text,assets/js/viewers/fireiq-live-viewer.js:298
fire-iq-tools-live-viewer.serial.readout.ec64c1cb,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Serial readout,,section[aria-label],fire-iq/tools/live-viewer/index.html:70
fire-iq-tools-live-viewer.set.how.many.recent.minutes.remain.visible.9465554c,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Set how many recent minutes remain visible in the live plots.,,span[data-help],fire-iq/tools/live-viewer/index.html:65
fire-iq-tools-live-viewer.shows.the.schema.file.currently.supplying.column.424e0a9c,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,"Shows the schema file currently supplying column names, units, and default axis ranges.",,span[data-help],fire-iq/tools/live-viewer/index.html:59
fire-iq-tools-live-viewer.skip.3da47453,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Skip,,JavaScript UI text,assets/js/core/live-viewer-tour.js:104
fire-iq-tools-live-viewer.start.tour.1178292d,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Start tour,,JavaScript UI text,assets/js/core/live-viewer-tour.js:102
fire-iq-tools-live-viewer.step.index.1.of.availablesteps.length.697eced5,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Step ${index + 1} of ${availableSteps.length},,JavaScript UI text,assets/js/core/live-viewer-tour.js:191
fire-iq-tools-live-viewer.the.graph.area.updates.live.for.both.0678cc63,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,The graph area updates live for both pods. Use the plot toggles to choose which shared graphs are visible.,,JavaScript UI text,assets/js/core/live-viewer-tour.js:70
fire-iq-tools-live-viewer.the.graph.area.updates.live.drag.plots.b8fe0407,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,"The graph area updates live. Drag plots to reorder them, or drop one plot onto another to combine graphs.",,JavaScript UI text,assets/js/core/live-viewer-tour.js:12; assets/js/core/live-viewer-tour.js:58
fire-iq-tools-live-viewer.the.live.viewer.needs.browser.serial.port.b97ada83,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,"The live viewer needs browser serial-port support. Safari does not support this connection, so open this live viewer in Firefox or Chrome.",,JavaScript UI text,assets/js/core/browser-warning.js:24
fire-iq-tools-live-viewer.timeline.size.min.add76364,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Timeline size (min),,span text,fire-iq/tools/live-viewer/index.html:65
fire-iq-tools-live-viewer.timeline.size.help.60ad2329,fire-iq/tools/live-viewer,https://hanniganairquality.github.io/PBLinRuralSchools/fire-iq/tools/live-viewer/,Timeline size help,,span[aria-label],fire-iq/tools/live-viewer/index.html:65
