key,page,page_link,english,translation,context,source_locations
aqiq-tools-co2-battle.battle.controls.and.status.7d022cda,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Battle controls and status,,section[aria-label],aqiq/tools/co2-battle/index.html:84
aqiq-tools-co2-battle.built.in.fallback.9406fba3,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,built-in fallback,,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:135
aqiq-tools-co2-battle.choose.any.numeric.measurement.available.in.the.b93b1725,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Choose any numeric measurement available in the selected YPOD schema. Both pods use the same measurement and scale.,,span[data-help],aqiq/tools/co2-battle/index.html:72
aqiq-tools-co2-battle.choose.the.ypod.firmware.schema.used.to.e0b0f6bd,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Choose the YPOD firmware schema used to interpret incoming serial rows.,,span[data-help],aqiq/tools/co2-battle/index.html:62
aqiq-tools-co2-battle.choose.this.pod.s.serial.port.a13ba0b1,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Choose this pod's serial port…,,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:198
aqiq-tools-co2-battle.choose.which.data.section.supplies.column.names.30830911,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,"Choose which data section supplies column names, units, and field order.",,span[data-help],aqiq/tools/co2-battle/index.html:67
aqiq-tools-co2-battle.co.550729bf,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,CO,,h1 text; span text,aqiq/tools/co2-battle/index.html:114; aqiq/tools/co2-battle/index.html:22; aqiq/tools/co2-battle/index.html:94
aqiq-tools-co2-battle.connect.b65463cb,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Connect,,button text,aqiq/tools/co2-battle/index.html:42; aqiq/tools/co2-battle/index.html:52
aqiq-tools-co2-battle.connect.pod.1.and.pod.2.7313a622,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Connect Pod 1 and Pod 2.,,li text,aqiq/tools/co2-battle/index.html:30
aqiq-tools-co2-battle.connect.two.ypods.and.compare.their.live.15282910,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Connect two YPODs and compare their live carbon dioxide readings on the same scale.,,p text,aqiq/tools/co2-battle/index.html:24
aqiq-tools-co2-battle.connected.waiting.for.getmeasurementlabel.data.d9aee2cf,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Connected—waiting for ${getMeasurementLabel()} data,,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:212; assets/js/viewers/aqiq-co2-battle.js:284
aqiq-tools-co2-battle.connecting.fd3e7969,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Connecting…,,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:369
aqiq-tools-co2-battle.connection.failed.error.message.unable.to.open.25f7c8e2,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,"Connection failed: ${error.message || ""unable to open port""}",,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:218
aqiq-tools-co2-battle.co.8f95f8ec,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,CO₂,,JavaScript UI text,assets/js/viewers/aqiq-co2-battle.js:400
aqiq-tools-co2-battle.disconnect.ed28e068,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,Disconnect,,button text,aqiq/tools/co2-battle/index.html:43; aqiq/tools/co2-battle/index.html:53
aqiq-tools-co2-battle.haq.lab.pbl.ecd45bff,aqiq/tools/co2-battle,https://hanniganairquality.github.io/PBLinRuralSchools/aqiq/tools/co2-battle/,HAQ Lab PBL,,a text,aqiq/tools/co2-battle/index.html:11
